TCGA-DJ-A13P	BRAF,KMT2A,CPLANE1,OFD1,PHEX
TCGA-KS-A41I	NRAS,PPP2R2B,PLA2G4D,ALOX5,ABCD1,CYP11B1,HECTD4,KIAA1109,TCTN2
TCGA-DJ-A4V0	MBIP
TCGA-EM-A3OB	NRAS,COL5A3,AMDHD1,IQSEC2,UTP3,WRAP53
TCGA-DJ-A2PZ	BRAF,H2AC20,NCOA3,STT3A,DNAJB11,F7,HSPH1,HBS1L,ANKS1A,CAPNS1,CDK13,FCGBP,RBBP6
TCGA-EL-A4KH	BRAF,TAPBP,ZNF777,CAVIN2
TCGA-DJ-A3UY	BRAF,TUBGCP4
TCGA-DJ-A2PR	BRAF,THBS1,MAP3K3,MYH14,SUOX,OSBPL9,SLC39A7
TCGA-ET-A2N5	HRAS,EPHA6,BCAP31,SOX2,ASXL1,CEP250,CLCN2,PTPRB
TCGA-EM-A2OX	BRAF,JAK2,CHUK,ITGAX,ABL2,ACD,ROS1
TCGA-EL-A3ZO	PIK3R1,BRAF,SRC,HLA-DPB1,CAMK2B,ITGA10,NDUFA7,TCF7L1,GRIN2A,WASL,PSMD7,RYR1,DPF1,SLX4,CDC7,DMD,IPO9,C7,BRD7,SLC17A7,TG,FANCB,CNOT1,GGCT,MYH10,REV1,FHL2,THOC6,SPTA1,ABCD4,SPG11,SRP68,PTPRZ1,ATAD2,ATAD5,CATSPERG,CEACAM8,CEP295,CHD1,CLASP2,CREBZF,FRYL,H1-2,HPDL,HSPA13,KCNS2,KDM2B,LGSN,LHFPL5,LTN1,LY75,LYST,MVP,NFAT5,PARP10,PCDHB5,PCDHGA2,PDIK1L,POLQ,PSG9,PTPN3,RNF113A,RP1L1,SCAPER,SEC62,SMG8,SPTBN4,TET1,TMEM192,ZBTB32,ZKSCAN4
TCGA-ET-A39R	IRS1,COL5A3,HAUS7,ZNF777
TCGA-DE-A4MB	AKT1,BRAF,PKM,SLC2A1,RBL1,COL5A3,CPSF1,FMO3,AP4E1,MIB2,CRYL1,EPG5,FGF13,PRLHR,SLC39A12,SPOCK2
TCGA-EM-A2OV	PLCE1,PARD6B,THOC1,EPHB1,ARID2,EZH1,GLP2R,ZNF234,DCST2,TET1,TM9SF4
TCGA-DJ-A3UO	BRAF,TAPBP,KCNA5,SLC22A16
TCGA-EL-A4K6	NRAS,ADCY1,RAP1A,H4C5,PFKFB4,PRKDC,TTN,DIS3,CTNND2,SHANK2,PITX2,FBXO11,LRRC3,MACF1,ORM1,RANBP6,SCN11A,SH3PXD2A,SLA,TIMMDC1
TCGA-EM-A22I	BRAF,CACNB1,ARFGEF2,RC3H2,ZFHX3
TCGA-BJ-A45G	NRAS,NPR1,B3GNT3,OR4M1,COG7,IGFBP7,TRMT1
TCGA-DJ-A1QL	C9orf72,TAF1L,PPM1D,GALNT18,ATP10B,HS3ST4,PPFIA4,SIDT1,SLC22A11,SLITRK3,USP28,WRN
TCGA-EL-A3CM	BRAF,IL17RC,RIOK1,IL16,ABCC2,CIT,EMILIN1,SLC35D2,ZNF207
TCGA-ET-A2MZ	BRAF,HAAO,ADGRA2,SRSF11
TCGA-FY-A3TY	BRAF,ABCB11,SPSB3
TCGA-BJ-A28T	SLC35D2
TCGA-EM-A1YE	DGKB,GRIK3,DNAH7,MSI1,MRTFA,TNRC18
TCGA-EM-A1YC	ATM,INPPL1,AKR1D1,FLOT1,ADGRL2,CDCP1,HAPLN1
TCGA-DJ-A2PX	CYP11A1
TCGA-DJ-A3UP	NRAS,PRMT1,VIPR2,SDC3,BAZ2B,CTR9
TCGA-DJ-A3VL	BRAF,RASA1,NTSR2,OGFOD2
TCGA-EM-A1CT	BRAF,H2BC5,ATM,PIK3CG,DBT,DOCK4,CCDC39,CEP290,HMCN1,MPHOSPH8,NALCN,SZT2,TBC1D25,TEX15,TMPO
TCGA-BJ-A0ZF	HLA-DPB1,PPARA,KMT5C,MAP3K8,DNAH1,NLRX1,GOSR1,ZFYVE16,ARHGAP32,CDHR5,CORO7,DIO1,LRRC8A,NDC80,PTPRD
TCGA-FY-A3NN	BRAF,ITGAM,COL22A1,MICOS10,TTC21B
TCGA-DE-A2OL	TLR4,TUBB4B,TEAD4,RGL2,UBASH3A
TCGA-GE-A2C6	BRAF,UNC5A
TCGA-DJ-A4V2	BRAF,ATR,TDO2,ACKR2,PCDH11X
